Airport ID,Airport Name,CY 16 Enplanements,CY 17 Enplanements
KXNA,Northwest Arkansas Regional,673810,698257
KDFW,Dallas-Fort Worth International,31283579,31816933
KPUJ,Paulding Northwest Atlanta,2,2
KOLM,Olympia Regional,44,156
KLFT,Lafayette Regional/Paul Fournet Field,206667,202640
KBDN,Bend Municipal,2,8
KMGN,Harbor Springs,8014,8500
KSAN,San Diego International,10340164,11139933
KEWR,Newark Liberty International,19923009,21571198
KFFC,Atlanta Regional Falcon Field,1,12
KPLU,Pierce County - Thun Field,0,3
KMQS,Chester County G O Carlson,11,21
KCXY,Capital City,87,171
KRYY,Cobb County International-McCollum Field,63,2
KGUC,Gunnison-Crested Butte Regional,34979,32250
KMWC,Lawrence J Timmerman,9,2
KBDH,Willmar Municipal-John L Rice Field,0,5
KDPA,Dupage,124,255
KRKD,Knox County Regional,16206,16092
KSTC,St. Cloud Regional,15615,20918
KFOD,Fort Dodge Regional,7271,7140
KMCE,Merced Regional/Macready Field,9426,8318
KHSV,Huntsville International-Carl T Jones Field,527801,519003
KSEE,Gillespie Field,25,11
KERI,Erie International/Tom Ridge Field,87647,85631
KLAX,Los Angeles International,39636042,41232432
KBJC,Rocky Mountain Metropolitan,556,331
KVNC,Venice Municipal,26,23
KIWD,Gogebic-Iron County,5069,5348
KSWF,Stewart International,140328,228640
KCMA,Camarillo,15,38
KSTP,St Paul Downtown Holman Field,68,63
KMCC,McClellan Airfield,4,15
KPEA,Pella Municipal,0,5
KRST,Rochester International,112864,143675
KRBG,Roseburg Regional,2,15
KBIS,Bismarck Municipal,273980,275098
KHKS,Hawkins Field,4,4
KHYA,Barnstable Municipal-Boardman/Polando Field,31027,29455
KHHR,Jack Northrop Field/Hawthorne Municipal,9,12
KNIP,Jacksonville NAS (Towers Field),6598,14305
KOGD,Ogden-Hinckley,15609,20324
KCAE,Columbia Metropolitan,553658,510188
KLBE,Arnold Palmer Regional,146127,151207
KOAK,Metropolitan Oakland International,5934639,6413842
KFCI,Richmond Executive-Chesterfield County,1,4
KBXM,Brunswick Executive,21,32
KESC,Delta County,16822,16781
KCCR,Buchanan Field,67,14517
KTVC,Cherry Capital,223924,235137
KHAO,Butler Co Regional-Hogan Field,6,3
KSFO,San Francisco International,25707101,26900048
KILM,Wilmington International,413185,422553
KCNM,Cavern City Air Terminal,3057,3972
KGTR,Golden Triangle Regional,40823,41632
KJHW,Chautauqua County/Jamestown,1301,1116
KDEC,Decatur,8453,8324
KBUR,Bob Hope,2077892,2402106
KLOZ,London-Corbin Airport-Magee Field,1,16
KGCN,Grand Canyon National Park,319206,336255
KACK,Nantucket Memorial,126197,113009
KIDA,Idaho Falls Regional,146213,147729
KMDD,Midland Airpark,2,12
KSBD,San Bernardino International,18,20
KEHR,Henderson City-County,0,15
KMTO,Coles County Memorial,0,172
KSPA,Spartanburg Downtown Memorial,4,14
KBDR,Igor I Sikorsky Memorial,141,124
KHOB,Lea County Regional,14707,16216
KCRE,Grand Strand,73,80
KORF,Norfolk International,1602631,1694329
KEAU,Chippewa Valley Regional,21304,22822
KLRD,Laredo International,101115,91462
KIKV,Ankeny Regional,16,105
KVLL,Oakland/Troy,853,1000
KAHN,Athens/Ben Epps,1433,1161
KLEX,Blue Grass,638316,637301
KMKL,McKellar-Sipes Regional,3661,4007
KMGE,Dobbins Air Reserve Base,30,468
KBDE,Baudette International,0,4
KADG,Lenawee County,0,30
KDCU,Pryor Field Regional,6,14
KTHA,Tullahoma Regional Airport/Wm Northern Field,0,5
KRIC,Richmond International,1777648,1822486
KTYR,Tyler Pounds Regional,52494,49653
KCLL,Easterwood Field,78907,73430
KGRK,Robert Gray AAF,157161,154951
KINL,Falls International-Einarson Field,13831,15278
KRIL,Rifle Garfield County,27,131
KSMO,Santa Monica Municipal,57,123
KMKO,Muskogee-Davis Regional,0,3
KLEE,Leesburg International,23,13
KLCK,Rickenbacker International,102751,133649
KCQX,Chatham Municipal,74,25
KFHB,Fernandina Beach Municipal,8,4
KVCV,Southern California Logistics,17538,19337
KFDK,Frederick Municipal,1,44
KLWM,Lawrence Municipal,13,17
KMCN,Middle Georgia Regional,860,4857
KDAL,Dallas Love Field,7554596,7593361
KIAD,Washington Dulles International,10596942,11024306
KRFD,Chicago/Rockford International,101790,112862
KOQU,Quonset State,345,455
KCRW,Yeager,213412,202778
KMOD,Modesto City County-Harry Sham Field,85,35
KHND,Henderson Executive,63445,57078
KFMY,Page Field,58,65
KLYH,Lynchburg Regional/Preston Glenn Field,75465,82489
KBKL,Burke Lakefront,9917,12024
KTEB,Teterboro,7772,11160
KCPS,St Louis Downtown,3586,4303
KSJT,San Angelo Regional/Mathis Field,60277,59206
KSEZ,Sedona,9,12
KGPI,Glacier Park International,247816,272279
KPTK,Oakland County International,3409,3266
KSUN,Friedman Memorial,77729,86641
KMSN,Dane County Regional-Truax Field,903155,943363
KTCM,McChord Field (Joint Base Lewis-McChord),3818,4927
KFFO,Wright-Patterson AFB,168,380
KGYH,Donaldson Field,30,8
KARB,Ann Arbor Municipal,16,6
KDBQ,Dubuque Regional,37954,40324
KFLG,Flagstaff Pulliam,64578,70710
KPSC,Tri-Cities,374301,376044
KEYW,Key West International,380505,392381
KBGR,Bangor International,269013,302224
KMQY,Smyrna,2542,3516
KBFF,Western Nebraska Regional/William B Heilig Field,4262,3709
KBFI,Boeing Field/King County International,17795,17294
KMEI,Key Field,26359,23923
KVUO,Pearson Field,3,11
KAOO,Altoona-Blair County,1865,3806
KCSG,Columbus,44813,49773
KFRG,Republic,10910,8032
KALB,Albany International,1388860,1393666
KPIB,Hattiesburg-Laurel Regional,12367,11726
KGDV,Dawson Community,2639,2229
KCKB,North Central West Virginia,26025,25105
KARV,Lakeland/Noble F Lee Memorial Field,2,4
KGBG,Galesburg Municipal,1215,250
KLNS,Lancaster,4230,4577
KTEX,Telluride Regional,133,2392
KDNL,Daniel Field,12,8
KONO,Ontario Municipal,9,19
KMQJ,Indianapolis Regional,26,31
KUZA,Rock Hill/York County/Bryant Field,2,8
KOSU,Ohio State University,58,20
KRDD,Redding Municipal,43414,42361
KCAD,Wexford County,0,1
KGYR,Phoenix Goodyear,22,45
KMCW,Mason City Municipal,7734,7502
KOMA,Eppley Airfield,2127387,2243658
KPWK,Chicago Executive,308,1394
KSFZ,North Central State,26,10
KMQI,Dare County Regional,11,27
KFTY,Fulton County Airport-Brown Field,58,33
KLWB,Greenbrier Valley,4965,5495
KMHE,Mitchell Municipal,0,27
KHIE,Mount Washington Regional,0,3
KDLH,Duluth International,124284,122726
KFSM,Fort Smith Regional,83920,85726
KALO,Waterloo Regional,27069,27358
KBLM,Monmouth Executive,76,126
KYKM,Yakima Air Terminal/McAllister Field,70993,71547
