Airport ID,Airport Name,CY 16 Enplanements,CY 17 Enplanements
KJYO,Leesburg Executive,101,352
KMVY,Martha's Vineyard,54084,49767
KGIC,Idaho County,0,16
KMKC,Charles B Wheeler Downtown,2907,3471
KLEW,Auburn/Lewiston Municipal,32,44
KDXR,Danbury Municipal,858,885
KJST,John Murtha Johnstown-Cambria County,4193,3594
KPSP,Palm Springs International,995801,1055970
KSBA,Santa Barbara Municipal,329751,356608
KFHU,Sierra Vista Municipal-Libby AAF,245,110
KCIU,Chippewa County International,20974,22261
KAVP,Wilkes-Barre/Scranton International,232855,261572
KAGC,Allegheny County,412,346
KIAB,McConnell AFB,0,216
KSHV,Shreveport Regional,270395,267646
KCRQ,McClellan-Palomar,180,5931
KBVI,Beaver County,1,2
KSSI,McKinnon St Simons Island,41,67
KROC,Greater Rochester International,1186002,1205774
KNGU,Norfolk NS (Chambers Field),27953,27120
KMGW,Morgantown Municipal-Walter L Bill Hart Field,7851,5698
KSAW,Sawyer International,45462,50938
KOXR,Oxnard,8,10
KHWD,Hayward Executive,9,10
KOFP,Hanover County Municipal,2,3
KBKF,Buckley AFB,0,4
KHIF,Hill AFB,333,257
KAND,Anderson Regional,80,169
KSKF,Kelly Field,788,531
KFAR,Hector International,402976,404937
KJZI,Charleston Executive,42,42
KGFL,Floyd Bennett Memorial,62,17
KDIK,Dickinson - Theodore Roosevelt Regional,16822,18963
KGRR,Gerald R Ford International,1334979,1412132
KCGI,Cape Girardeau Regional,5532,6321
KMMK,Meriden Markham Municipal,10,6
KMMU,Morristown Municipal,7239,6159
KTUP,Tupelo Regional,7539,11441
KFPR,Treasure Coast International,25,73
KUNO,West Plains Regional,2,2
KOAJ,Albert J Ellis,149987,155342
KMOB,Mobile Regional,288209,288222
KHNB,Huntingburg,6,59
KMHT,Manchester,995403,969229
KLWS,Lewiston-Nez Perce County,72724,76729
KGJT,Grand Junction Regional,218319,223452
KIRK,Kirksville Regional,4733,5152
KLBX,Texas Gulf Coast Regional,282,50
KDKB,De Kalb Taylor Municipal,28,29
KHYS,Hays Regional,8265,9460
KARA,Acadiana Regional,40,20
KFLD,Fond du Lac County,3,5
KPWA,Wiley Post,8,167
KBTV,Burlington International,593311,578014
KMFE,McAllen Miller International,355224,336431
KAEG,Double Eagle II,2,2
KUDD,Bermuda Dunes,3,3
KMCF,MacDill AFB,305,268
KVDF,Tampa Executive,0,3
KPTW,Heritage Field,4,6
KJEF,Jefferson City Memorial,1,14
KRSW,Southwest Florida International,4239261,4364224
KTLH,Tallahassee International,345404,350174
KAWO,Arlington Municipal,3,4
KHUM,Houma-Terrebonne,58,62
KLGC,La Grange-Callaway,4,1
KCDC,Cedar City Regional,14413,15588
KSOW,Show Low Regional,4139,4917
KMIW,Marshalltown Municipal,0,5
KPOU,Hudson Valley Regional,19,11
KCAK,Akron-Canton Regional,685553,619321
KACT,Waco Regional,64356,58888
KLAL,Lakeland Linder Regional,223,239
KCKZ,Pennridge,35,18
KAEL,Albert Lea Municipal,0,3
KHDC,Hammond Northshore Regional,4,4
KMTP,Montauk,32,58
KCNY,Canyonlands Field,7837,10032
KPOF,Poplar Bluff Municipal,0,4
KRAP,Rapid City Regional,272537,286567
KIFP,Laughlin/Bullhead International,109334,129949
KLCH,Lake Charles Regional,53576,50899
KSFB,Orlando Sanford International,1341699,1434990
KBCB,Virginia Tech/Montgomery Executive,6,1
KONT,Ontario International,2104625,2247645
KGYY,Gary/Chicago International,889,909
KEGE,Eagle County Regional,163840,154577
KEVV,Evansville Regional,204352,213205
KWST,Westerly State,17218,17021
KFWS,Fort Worth Spinks,2,2
KBZN,Bozeman Yellowstone International,553245,598712
KLFI,Langley AFB,1808,1313
KOFK,Norfolk Regional/Karl Stefan Memorial Field,0,4
KNYL,Yuma MCAS/Yuma International,74742,79564
KBTM,Bert Mooney,25890,27703
KCEW,Bob Sikes,0,24
KSNC,Chester,2,2
KLPR,Lorain County Regional,13,11
KWWR,West Woodward,16,6
KALW,Walla Walla Regional,47439,49702
KDMW,Carroll County Regional/Jack B Poage Field,19,4
KGMU,Greenville Downtown,8,6
KPSX,Palacios Municipal,120,130
KSYR,Syracuse Hancock International,988496,1013149
KCVG,Cincinnati/Northern Kentucky International,3269979,3791989
KPVU,Provo Municipal,78451,91581
KCEZ,Cortez Municipal,4564,7890
KGON,Groton-New London,84,32
KHLN,Helena Regional,103239,103773
KMSL,Northwest Alabama Regional,5295,6490
KHRL,Valley International,263760,273070
KTKI,McKinney National,0,7
KAPN,Alpena County Regional,10031,11317
KSGR,Sugar Land Regional,17,96
KPVC,Provincetown Municipal,10074,8900
KIGM,Kingman,23,7
KIPL,Imperial County,4136,6136
KWVL,Waterville Robert Lafleur,13,5
KOQN,Brandywine,0,68
KESN,Easton/Newnam Field,11,27
